Sno,Order Id,Order Date,Delivery Status,Payment Method,Source,Amount,Rejection Reason,
1,1018441413,"09:32 PM, November 01 2018",Rejected,Online,Zomato,₹266,Food not delivered,
2,1322899993,"03:51 AM, November 01 2018",Delivered,COD,Zomato,₹308,,
3,1173086617,"03:14 AM, November 01 2018",Delivered,Online,Zomato,₹210,,
4,1233498928,"02:45 AM, November 01 2018",Delivered,COD,Zomato,₹235,,
5,1592986936,"02:35 AM, November 01 2018",Delivered,Online,Zomato,₹120,,
6,1440337870,"02:17 AM, November 01 2018",Delivered,COD,Zomato,₹310,,
7,1026678843,"02:01 AM, November 01 2018",Delivered,COD,Zomato,₹294,,
8,1239478463,"01:18 AM, November 01 2018",Delivered,COD,Zomato,₹130,,
9,1014282557,"12:54 AM, November 01 2018",Delivered,Online,Zomato,₹430,,
10,1541589722,"12:54 AM, November 01 2018",User Cancelled,Online,Zomato,₹180,Poor quality of packaging,
11,1118323730,"03:24 AM, October 31 2018",Rejected,COD,Zomato,₹745,Customer non-responsive | 60% of order amount will be refunded,
12,1373412254,"02:10 AM, October 31 2018",Delivered,Online,Zomato,₹238,,
13,1322577267,"01:29 AM, October 31 2018",Delivered,Online,Zomato,₹202,,
14,1154676609,"12:44 AM, October 31 2018",Delivered,Online,Zomato,₹270,,
15,1478084912,"12:37 AM, October 31 2018",Delivered,COD,Zomato,₹120,,
16,1004804571,"12:09 AM, October 31 2018",Rejected,COD,Zomato,₹150,Food not delivered,
17,1271229399,"12:08 AM, October 31 2018",Delivered,COD,Zomato,₹140,,
